Accession,Release_Date,Species,Genus,Family,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
MK062180,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,GenBank,complete,,,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,,2017-05-28,,"SARS coronavirus Urbani isolate icSARS-MA, complete genome"
MK062182,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,GenBank,complete,,,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,,2017-05-30,,"SARS coronavirus Urbani isolate icSARS-C3-MA, complete genome"
MK062184,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29874,GenBank,complete,,,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,,2017-06-01,,"SARS coronavirus Urbani isolate icSARS-C7-MA, complete genome"
MK062181,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,GenBank,complete,,,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,,2017-05-29,,"SARS coronavirus Urbani isolate icSARS-C3, complete genome"
MK062179,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,GenBank,complete,,,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,,2017-05-27,,"SARS coronavirus Urbani isolate icSARS, complete genome"
MK062183,2018-11-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29874,GenBank,complete,,,"Graham,R.L., Deming,D.J., Deming,M.E., Yount,B.L., Baric,R.S.",30393776,USA,Homo sapiens,,2017-05-31,,"SARS coronavirus Urbani isolate icSARS-C7, complete genome"
DJ087068,2008-02-21T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,3768,GenBank,partial,,,"Brahmachari,S.K., Kumar,K., Sachdeva,G., Jain,P., Ramachandran,S.",,,,,,,COMPUTATIONAL METHOD FOR IDETIFYING ADHESIN
DJ066921,2008-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,29727,GenBank,partial,,,"Inoue,M., Hong,W.",,,,,,,A sensitive and specific test to detect SARS coronavirus
DJ066928,2008-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,78,GenBank,partial,,,"Inoue,M., Hong,W.",,,,,,,A sensitive and specific test to detect SARS coronavirus
DJ066922,2008-01-23T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,353,GenBank,partial,,,"Inoue,M., Hong,W.",,,,,,,A sensitive and specific test to detect SARS coronavirus
